document_id,channel,issue,human_label,text,synthetic
CAMPUS-060,feedback_form,food,food,The meal option often has a long wait after class; comment 12 asks for a practical follow-up.,true
CAMPUS-061,survey,food,food,The dining hall worked better than I expected today; comment 13 asks for a practical follow-up.,true
CAMPUS-062,forum,food,food,The food pantry was easy to use this week; comment 14 asks for a practical follow-up.,true
CAMPUS-063,email,food,food,The campus cafe needs clearer hours and directions; comment 15 asks for a practical follow-up.,true
CAMPUS-064,feedback_form,food,food,The meal option often has a long wait after class; comment 16 asks for a practical follow-up.,true
CAMPUS-065,survey,safety,safety,The path lighting was easy to use this week; comment 1 asks for a practical follow-up.,true
CAMPUS-066,forum,safety,safety,The night escort needs clearer hours and directions; comment 2 asks for a practical follow-up.,true
CAMPUS-067,email,safety,safety,The crosswalk often has a long wait after class; comment 3 asks for a practical follow-up.,true
CAMPUS-068,feedback_form,safety,safety,The emergency phone worked better than I expected today; comment 4 asks for a practical follow-up.,true
CAMPUS-069,survey,safety,safety,The path lighting was easy to use this week; comment 5 asks for a practical follow-up.,true
CAMPUS-070,forum,safety,safety,The night escort needs clearer hours and directions; comment 6 asks for a practical follow-up.,true
CAMPUS-071,email,safety,safety,The crosswalk often has a long wait after class; comment 7 asks for a practical follow-up.,true
CAMPUS-072,feedback_form,safety,safety,The emergency phone worked better than I expected today; comment 8 asks for a practical follow-up.,true
CAMPUS-073,survey,safety,safety,The path lighting was easy to use this week; comment 9 asks for a practical follow-up.,true
CAMPUS-074,forum,safety,safety,The night escort needs clearer hours and directions; comment 10 asks for a practical follow-up.,true
CAMPUS-075,email,safety,safety,The crosswalk often has a long wait after class; comment 11 asks for a practical follow-up.,true
CAMPUS-076,feedback_form,safety,safety,The emergency phone worked better than I expected today; comment 12 asks for a practical follow-up.,true
CAMPUS-077,survey,safety,safety,The path lighting was easy to use this week; comment 13 asks for a practical follow-up.,true
CAMPUS-078,forum,safety,safety,The night escort needs clearer hours and directions; comment 14 asks for a practical follow-up.,true
CAMPUS-079,email,safety,safety,The crosswalk often has a long wait after class; comment 15 asks for a practical follow-up.,true
CAMPUS-080,feedback_form,safety,safety,The emergency phone worked better than I expected today; comment 16 asks for a practical follow-up.,true
CAMPUS-081,survey,services,services,The advising office needs clearer hours and directions; comment 1 asks for a practical follow-up.,true
CAMPUS-082,forum,services,services,The student portal often has a long wait after class; comment 2 asks for a practical follow-up.,true
CAMPUS-083,email,services,services,The help desk worked better than I expected today; comment 3 asks for a practical follow-up.,true
CAMPUS-084,feedback_form,services,services,The appointment system was easy to use this week; comment 4 asks for a practical follow-up.,true
CAMPUS-085,survey,services,services,The advising office needs clearer hours and directions; comment 5 asks for a practical follow-up.,true
CAMPUS-086,forum,services,services,The student portal often has a long wait after class; comment 6 asks for a practical follow-up.,true
CAMPUS-087,email,services,services,The help desk worked better than I expected today; comment 7 asks for a practical follow-up.,true
CAMPUS-088,feedback_form,services,services,The appointment system was easy to use this week; comment 8 asks for a practical follow-up.,true
CAMPUS-089,survey,services,services,The advising office needs clearer hours and directions; comment 9 asks for a practical follow-up.,true
CAMPUS-090,forum,services,services,The student portal often has a long wait after class; comment 10 asks for a practical follow-up.,true
CAMPUS-091,email,services,services,The help desk worked better than I expected today; comment 11 asks for a practical follow-up.,true
CAMPUS-092,feedback_form,services,services,The appointment system was easy to use this week; comment 12 asks for a practical follow-up.,true
CAMPUS-093,survey,services,services,The advising office needs clearer hours and directions; comment 13 asks for a practical follow-up.,true
CAMPUS-094,forum,services,services,The student portal often has a long wait after class; comment 14 asks for a practical follow-up.,true
CAMPUS-095,email,services,services,The help desk worked better than I expected today; comment 15 asks for a practical follow-up.,true
CAMPUS-096,feedback_form,services,services,The appointment system was easy to use this week; comment 16 asks for a practical follow-up.,true
